,Parcel ID,Asd Total,Latitude (generated),Longitude (generated)
0,2280000300,18400.0,38.637091826,-90.182016225
3,3360000300,23800.0,38.65390384,-90.193080292
4,3460002500,29800.0,38.645840402,-90.18969385
5,3470001000,1770.0,38.645688759,-90.18884756
6,3590001000,1860.0,38.651768153,-90.193950231
7,3590001700,1060.0,38.651606697,-90.194533278
8,3600000300,1820.0,38.651099166,-90.194490552
9,3600000400,1120.0,38.651141831,-90.194417839
10,3600000600,1120.0,38.651208693,-90.19426314799999
11,3600000650,1120.0,38.651233927,-90.19418165799999
12,3610000900,21300.0,38.648733027,-90.19254106700001
13,3610000950,210.0,38.648491787,-90.192425445
14,3640000300,1200.0,38.645632624,-90.19174128200001
15,3640000650,1460.0,38.645708263,-90.19149699399999
16,3640001200,6300.0,38.645521024000004,-90.19088597
17,3640001600,1160.0,38.645401502,-90.19127202799999
18,3640001700,1770.0,38.645363713,-90.19139411
19,3650000350,890.0,38.644957298,-90.19129653
20,3720001000,23450.0,38.608849984,-90.20234804
21,3950002300,3760.0,38.609118225,-90.206288883
23,4080000800,8130.0,38.611701895,-90.20758035200001
24,4090000300,2320.0,38.612753586,-90.207119387
25,4090000700,4470.0,38.612384961,-90.206967195
26,4660401400,17970.0,38.615222975,-90.20092571100001
27,4820902007,43650.0,38.61995574,-90.20905777899999
30,5960001400,4400.0,38.64216713,-90.19743492299999
31,5980000900,13600.0,38.642470661,-90.19560295
32,6140000200,1580.0,38.642975388,-90.194234379
33,6140000300,170.0,38.643057305,-90.19425357899999
34,6140000400,1100.0,38.643103626999995,-90.194190312
35,6140001007,8980.0,38.643457014,-90.194085174
36,6140001200,970.0,38.64333737,-90.193637557
37,6190500400,2500.0,38.645360848,-90.197736382
38,6190500600,700.0,38.645230964,-90.19768043
39,6200000700,1900.0,38.645073042,-90.196436075
40,6200001200,360.0,38.644742571,-90.196286199
41,6200001400,930.0,38.644691434,-90.196448692
42,6210000900,3100.0,38.645550037,-90.19655620799999
43,6220000300,1350.0,38.646522433,-90.19748782799999
44,6220001100,1730.0,38.646231153,-90.197228059
45,6230000800,1200.0,38.647430648000004,-90.196185997
46,6320000400,1160.0,38.647276384,-90.195036664
47,6320000950,1200.0,38.647487696999995,-90.19457880799999
48,6320001050,1060.0,38.647343733,-90.19450652100001
49,6330000400,1440.0,38.648040087,-90.195419795
50,6330001200,2070.0,38.647759108,-90.195121019
51,6340001300,270.0,38.648657084,-90.19544600399999
52,6350000300,1250.0,38.649714627,-90.1961515
53,6350001000,270.0,38.649387874,-90.196001807
54,6380001600,840.0,38.648954032,-90.19452133200001
55,6390000200,1220.0,38.648359465,-90.194417229
56,6390001500,1670.0,38.648114446,-90.193994602
57,6570001050,17000.0,38.644486033,-90.187777339
58,6581301500,25500.0,38.644362122,-90.18852208700001
59,6610300700,25500.0,38.657894479,-90.18778361700001
60,6710000300,11840.0,38.609044476,-90.208750286
61,6710000400,28960.0,38.609095186,-90.20868622799999
62,6710000700,11500.0,38.609353797,-90.208552991
63,6710000800,39000.0,38.609439492,-90.208587916
64,6790000800,14290.0,38.608529022,-90.209495705
65,6800001200,12290.0,38.608344404,-90.208446695
66,6820001400,11130.0,38.607435274000004,-90.205760629
67,6850000400,25880.0,38.606892027,-90.203486525
69,7780000200,7370.0,38.606139173,-90.205333309
70,8380001900,5110.0,38.604685943,-90.204802739
72,9300001100,25600.0,38.63576013,-90.215586984
73,9690000800,1430.0,38.641033278,-90.21348469799999
74,9710000300,1430.0,38.64272531,-90.21319201600001
75,9740000600,1880.0,38.644437212,-90.2152659
76,9740000700,6700.0,38.644475793000005,-90.21518057
77,9740000800,1480.0,38.644476647,-90.21509182700001
78,9740003000,610.0,38.64435176,-90.215734544
79,9750000800,570.0,38.643594883,-90.21495584700001
80,9750002300,950.0,38.643231378,-90.21437718799999
81,9750002500,970.0,38.643229976,-90.21449226200001
82,9750002600,2510.0,38.643229123000005,-90.214562537
83,9750003100,610.0,38.643223454,-90.215041787
84,9750003300,1790.0,38.643221626,-90.21519367399999
85,9750003400,570.0,38.64322059,-90.215280223
86,9750003500,380.0,38.643251979,-90.21536939299999
87,9760000200,1410.0,38.642740548,-90.215476299
88,9760000800,1630.0,38.642741096,-90.21484284600001
89,9780001800,1290.0,38.64066319,-90.214329891
90,9780001900,1010.0,38.640662275,-90.214416074
91,9790001100,2430.0,38.64016468,-90.214912329
92,9790002100,1940.0,38.639804343,-90.214607274
93,9800600200,23600.0,38.638619659,-90.215078296
94,9810000800,8600.0,38.638090735,-90.215337821
95,9820001400,190.0,38.636771107,-90.215749172
96,9820001600,3310.0,38.636816819,-90.215968836
97,9830000300,13000.0,38.636486349,-90.217073554
98,9830001200,570.0,38.636286128,-90.216099269
99,9990001900,2410.0,38.640609919,-90.21618423299999
100,10000000300,2260.0,38.641849031999996,-90.217271398
101,10000001100,1980.0,38.641859516,-90.21637866299999
102,10000001200,1790.0,38.641860552,-90.21629113899999
103,10010001200,2240.0,38.642716838000005,-90.216220011
104,10020000100,1350.0,38.643539602,-90.21721873700001
105,10020000200,1370.0,38.643564591,-90.21711116
106,10020000500,3080.0,38.643600308,-90.21685017200001
107,10050002900,1060.0,38.643182069,-90.218213623
108,10050003800,1310.0,38.643171341999995,-90.21913262700001
109,10050003900,1440.0,38.643170001,-90.219249346
110,10050004000,3840.0,38.643169330999996,-90.219307675
111,10060000300,1520.0,38.642684839,-90.21962632200001
112,10060000400,1820.0,38.642685814000004,-90.219539529
113,10060001400,1520.0,38.642729333000005,-90.218385015
114,10060001500,1520.0,38.642730308000004,-90.218298527
115,10060002700,1960.0,38.642327794,-90.218383369
116,10060003100,290.0,38.642323345,-90.218810567
117,10230300900,44900.0,38.637410533,-90.221472009
118,10240001200,3860.0,38.63812633,-90.222271368
119,10270000700,3270.0,38.641458221,-90.22115549600001
120,10280003300,1860.0,38.642338156,-90.221358764
121,10280003400,2220.0,38.642382831999996,-90.22142526
122,10280003800,49900.0,38.642697883000004,-90.221886286
123,10280003900,6900.0,38.642743778,-90.222175798
124,10290003150,1670.0,38.643155555999996,-90.220484376
